Byte No, Latency
1,184
2,44
3,48
4,46
5,48
6,48
7,48
8,46
9,48
10,46
11,48
12,48
13,46
14,46
15,46
16,48
17,46
18,48
19,46
20,46
21,46
22,46
23,46
24,46
25,46
26,46
27,44
28,46
29,46
30,44
31,46
32,46
33,46
34,46
35,48
36,48
37,46
38,50
39,46
40,48
41,46
42,48
43,46
44,48
45,42
46,44
47,42
48,42
49,172
50,42
51,42
52,42
53,44
54,44
55,44
56,42
57,42
58,42
59,44
60,44
61,44
62,42
63,44
64,46
65,42
66,44
67,42
68,42
69,42
70,44
71,44
72,42
73,44
74,44
75,44
76,42
77,42
78,42
79,44
80,42
81,42
82,42
83,42
84,42
85,44
86,44
87,42
88,42
89,42
90,44
91,42
92,44
93,44
94,42
95,42
96,42
97,44
98,42
99,42
100,42
101,42
102,42
103,44
104,42
105,42
106,42
107,42
108,44
109,44
110,42
111,42
112,44
113,184
114,42
115,42
116,42
117,42
118,40
119,42
120,42
121,42
122,42
123,40
124,44
125,44
126,42
127,42
128,44
129,44
130,40
131,40
132,42
133,44
134,40
135,42
136,44
137,42
138,42
139,42
140,44
141,44
142,42
143,42
144,44
145,42
146,42
147,40
148,44
149,40
150,44
151,42
152,42
153,42
154,46
155,42
156,42
157,42
158,44
159,40
160,44
161,42
162,42
163,44
164,44
165,42
166,42
167,42
168,42
169,42
170,44
171,44
172,42
173,42
174,44
175,62
176,42
177,46
178,42
179,44
180,42
181,42
182,42
183,42
184,42
185,44
186,44
187,44
188,44
189,42
190,44
191,42
192,42
193,44
194,44
195,42
196,42
197,46
198,44
199,42
200,42
201,42
202,42
203,42
204,40
205,42
206,44
207,44
208,42
209,42
210,40
211,44
212,42
213,42
214,42
215,44
216,44
217,44
218,42
219,42
220,44
221,44
222,44
223,44
224,44
225,44
226,42
227,42
228,42
229,44
230,42
231,42
232,42
233,42
234,44
235,44
236,44
237,44
238,42
239,42
240,42
241,188
242,42
243,44
244,40
245,42
246,42
247,42
248,42
249,42
250,42
251,42
252,44
253,44
254,40
255,42
256,42
257,42
258,42
259,44
260,42
261,42
262,42
263,42
264,40
265,44
266,44
267,42
268,40
269,44
270,42
271,44
272,42
273,42
274,44
275,40
276,42
277,44
278,44
279,44
280,42
281,42
282,42
283,40
284,42
285,42
286,44
287,42
288,42
289,42
290,42
291,44
292,44
293,42
294,44
295,42
296,44
297,44
298,42
299,42
